t,lFA_w,lFA_x,lFA_y,lFA_z,rFA_w,rFA_x,rFA_y,rFA_z,lUA_w,lUA_x,lUA_y,lUA_z,rUA_w,rUA_x,rUA_y,rUA_z,lTH_w,lTH_x,lTH_y,lTH_z,rTH_w,rTH_x,rTH_y,rTH_z,lSH_w,lSH_x,lSH_y,lSH_z,rSH_w,rSH_x,rSH_y,rSH_z,hips_w,hips_x,hips_y,hips_z,chest_w,chest_x,chest_y,chest_z
0.724805,0.981469,-0.100361,-0.155154,0.0507253,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.741466,0.980083,-0.108153,-0.158052,0.0525404,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.750729,0.978123,-0.119777,-0.161072,0.0546258,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.757914,0.976796,-0.127181,-0.162985,0.0559515,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.765096,0.973969,-0.144435,-0.164787,0.0580305,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.772203,0.972146,-0.154662,-0.165832,0.0592569,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.779537,0.97091,-0.161268,-0.166499,0.0600466,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.786753,0.970082,-0.165558,-0.166928,0.0605585,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.793786,0.969533,-0.168345,-0.167205,0.0608906,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.807728,0.969173,-0.170156,-0.167385,0.0611061,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.824755,0.968179,-0.17494,-0.167958,0.061772,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.832106,0.96557,-0.185641,-0.170537,0.0642604,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.839292,0.963826,-0.1925,-0.172181,0.0658538,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.846409,0.961268,-0.202147,-0.174457,0.0683015,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.853809,0.958825,-0.211123,-0.176418,0.0704109,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.861065,0.957191,-0.216938,-0.177682,0.0717763,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.875054,0.954697,-0.225561,-0.179562,0.0737177,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.891375,0.952431,-0.233189,-0.18113,0.0754328,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.898709,0.950923,-0.238139,-0.182143,0.0765448,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.905837,0.949928,-0.241353,-0.182798,0.0772664,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.912882,0.949275,-0.24344,-0.183223,0.077735,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.920043,0.948848,-0.244796,-0.183499,0.0780393,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.927078,0.94857,-0.245677,-0.183678,0.0782371,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.941344,0.945582,-0.255909,-0.184126,0.0805179,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.958914,0.943451,-0.263905,-0.182835,0.0826176,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.966609,0.942977,-0.267553,-0.179014,0.0846445,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
0.973722,0.942652,-0.269919,-0.176527,0.0859605,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-4.37114e-08,0,1,0,-4.37114e-08,0,1,0
